left[199, 180;
 199, 181;
 197, 182;
 197, 183;
 197, 184;
 194, 185;
 194, 186;
 194, 187;
 194, 188;
 191, 189;
 188, 190;
 188, 191;
 188, 192;
 185, 193;
 185, 194;
 185, 195;
 185, 196;
 182, 197;
 182, 198;
 182, 199;
 180, 200;
 180, 201;
 180, 202;
 177, 203;
 177, 204;
 174, 205;
 174, 206;
 174, 207;
 171, 208;
 171, 209;
 171, 210;
 168, 211;
 168, 212;
 165, 213;
 162, 214;
 162, 215;
 162, 216;
 159, 217;
 159, 218;
 157, 219;
 157, 220;
 154, 221;
 154, 222;
 154, 223;
 151, 224;
 148, 225;
 148, 226;
 148, 227;
 148, 228;
 148, 229;
 145, 230;
 145, 231;
 142, 232;
 142, 233;
 142, 234;
 139, 235;
 139, 236;
 139, 237;
 137, 238;
 137, 239;
 137, 240;
 137, 241;
 137, 242;
 134, 243;
 134, 244;
 131, 245;
 128, 246;
 128, 247;
 128, 248;
 128, 249;
 125, 250;
 125, 251;
 125, 252;
 122, 253;
 122, 254;
 122, 255;
 119, 256;
 119, 257;
 119, 258;
 119, 259;
 119, 260;
 117, 261;
 117, 262;
 117, 263;
 114, 264;
 114, 265;
 114, 266;
 111, 267;
 111, 268;
 108, 269;
 105, 270;
 105, 271;
 105, 272;
 105, 273;
 105, 274;
 105, 275;
 105, 276;
 102, 277;
 102, 278;
 102, 279;
 102, 280;
 102, 281;
 102, 282;
 99, 283;
 99, 284;
 99, 285;
 99, 286;
 97, 287;
 94, 288;
 94, 289;
 94, 290;
 94, 291;
 94, 292;
 94, 293;
 94, 294;
 94, 295;
 91, 296;
 91, 297;
 88, 298;
 88, 299;
 88, 300;
 85, 301;
 85, 302;
 85, 303;
 82, 304;
 82, 305;
 82, 306;
 79, 307;
 79, 308;
 77, 309;
 77, 310;
 77, 311;
 74, 312;
 74, 313;
 71, 314;
 68, 315;
 68, 316;
 68, 317;
 68, 318;
 65, 319;
 62, 320;
 62, 321;
 57, 322;
 57, 323;
 57, 324;
 54, 325;
 54, 326;
 54, 327;
 51, 328;
 51, 329;
 51, 330;
 51, 331;
 51, 332;
 51, 333;
 51, 334;
 51, 335;
 45, 336;
 45, 337;
 45, 338;
 45, 339;
 42, 340]

bottom left[42, 340]
top left[199, 180]
