right[470, 180;
 471, 181;
 471, 182;
 471, 183;
 472, 184;
 472, 185;
 472, 186;
 472, 187;
 472, 188;
 472, 189;
 472, 190;
 472, 191;
 472, 192;
 472, 193;
 472, 194;
 472, 195;
 472, 196;
 472, 197;
 472, 198;
 472, 199;
 472, 200;
 472, 201;
 472, 202;
 472, 203;
 472, 204;
 472, 205;
 472, 206;
 472, 207;
 472, 208;
 472, 209;
 472, 210;
 472, 211;
 472, 212;
 472, 213;
 472, 214;
 472, 215;
 472, 216;
 472, 217;
 472, 218;
 472, 219;
 472, 220;
 472, 221;
 472, 222;
 472, 223;
 472, 224;
 472, 225;
 472, 226;
 472, 227;
 472, 228;
 472, 229;
 472, 230;
 472, 231;
 472, 232;
 472, 233;
 472, 234;
 472, 235;
 472, 236;
 473, 237;
 473, 238;
 474, 239;
 475, 240;
 476, 241;
 478, 242;
 478, 243;
 478, 244;
 478, 245;
 478, 246;
 478, 247;
 478, 248;
 479, 249;
 479, 250;
 479, 251;
 481, 252;
 481, 253;
 481, 254;
 482, 255;
 482, 256;
 482, 257;
 484, 258;
 486, 259;
 487, 260;
 487, 261;
 489, 262;
 490, 263;
 490, 264;
 491, 265;
 493, 266;
 493, 267;
 493, 268;
 493, 269;
 493, 270;
 493, 271;
 494, 272;
 496, 273;
 498, 274;
 500, 275;
 502, 276;
 502, 277;
 503, 278;
 505, 279;
 507, 280;
 509, 281;
 511, 282;
 511, 283;
 512, 284;
 514, 285;
 516, 286;
 516, 287;
 516, 288;
 518, 289;
 520, 290;
 522, 291;
 524, 292;
 526, 293;
 529, 294;
 531, 295;
 531, 296;
 533, 297;
 533, 298;
 535, 299;
 537, 300;
 537, 301;
 539, 302;
 542, 303;
 542, 304;
 544, 305;
 546, 306;
 546, 307;
 549, 308;
 549, 309;
 552, 310;
 555, 311;
 555, 312;
 557, 313;
 557, 314;
 557, 315;
 560, 316;
 563, 317;
 566, 318;
 566, 319;
 566, 320;
 569, 321;
 569, 322;
 571, 323;
 574, 324;
 574, 325;
 578, 326;
 581, 327;
 581, 328;
 585, 329;
 588, 330;
 592, 331;
 595, 332;
 599, 333;
 603, 334;
 606, 335;
 606, 336;
 608, 337;
 612, 338;
 616, 339;
 617, 340]

bottom right[617, 340]
top right[470, 180]
